speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype
Lambert|Ha, ha.|Lambert|What'd you expect? Scent of violets?|Geralt|Oof, place reeks of mould…|Ale tu cuchnie grzybem.|Tutaj śmierdzi pleśnią...
Keira Metz|A plague can go wrong, go wild. A sword won't. That's the difference.|Geralt|See this? Bedbugs, Geralt. Bloody bedbugs! I, Keira Metz, advisor to Foltest and member of the Lodge of Sorceresses, have bedbugs!|Keira Metz|Shut up for a moment and look at me.|Zamknij się na moment i popatrz na mnie.|To nie one zaatakowały tych ludzi. Wiwerna królewska musi gdzieś się tu czaić.
Geralt|Show me what you got.|Geralt|Course I do. Vizima or Mahakam this ain't, but I'm as good a smith as any.|Dwarf Man 02|Greetings. Got anything in stock besides hoes and horseshoes?|Witaj. Masz na sprzedaż coś poza podkowami i motykami?|Dzień dobry. Masz może coś oprócz wideł i podków?
Novigrad Refugee Woman 03|Oh no.|Novigrad Refugee Woman 03|Eh, swine.|Novigrad Refugee Woman 03|Where're my young'uns?! Aaargh!|Gdzie moje dzieci?! Aaaa!|Gdzie są moje dzieci?! Aaargh!
Geralt|As have I. Neither is to leave here alive.|Novigrad Rich Man 01|I paid in advance because I knew I'd recover my coin.|Novigrad Rich Man 01|If these boys are here to help us kill rats, they're late. You paid up front and got what you paid for. Not half a rodent left in the granary.|Jeżeli przyprowadziłeś tych panów, żeby nam pomogli tępić szczury, to się spóźnili. Zapłaciłeś z góry i nie zawiedziesz się. W magazynie nie ma ani pół gryzonia.|Jeśli ci chłopcy mają nam pomagać w zabijaniu szczurów, to się spóźnili. Zapłaciłeś z góry i masz to, za co zapłaciłeś. Nie ma już prawie ani jednego szczura w spichlerzu.
Philippa Eilhart|So she's not told you anything? What about personal plans?|Philippa Eilhart|Stay away from Ciri.|Geralt|Has she mentioned anything? A possible advisory position? Beside a young, promising empress?|Czyżby chciała w swoim czasie zostać doradczynią młodej, obiecującej cesarzowej?|Czy wspomniała o czymkolwiek? Możliwe stanowisko doradcy? Przy młodej, obiecującej cesarzowej?
Skellige Hunter 02|Same thing each time - snares sprung, earth trampled, blood, bits o' flesh… But no game in sight.|Skellige Hunter 03|Oh, I have. On Faroe. Turned out an old bear had taught itself to check the traps, pick 'em clean.|Skellige Hunter 01|Strange. Never heard of anythin' similar.|Dziwne. Nigdy o czymś takim nie słyszałem.|Dziwne. Nigdy nie słyszałem o czymś takim.
Novigrad Rich Man 02|What'd it swipe from you?|Geralt|Greetings, master.|Novigrad Rich Man 02|Once it was bread, then a fish, then apples… Might not seem like much, but add it together and the business suffers! And I'm hardly alone in being pestered. It's nicked something from every stand in the square!|Raz chleb, raz rybę, to znowu jabłka. No niby nic... Ale ziarnko do ziarnka i interes zaczyna przynosić straty! Zresztą, nie tylko mnie nachodzi, o nie, z każdego stoiska już coś zwinął!|Raz brało chleb, potem rybę, jabłka... Może to niewiele, ale sumując, interes cierpi! I nie jestem jedynym, którego to spotyka. Ukradło coś z każdego straganu na placu!
Lambert|They always know where I teleport to, and they move from place to place in an instant.|Cirilla|If they're dispersed out in the woods, we could hunt down small groups of riders.|Lambert|So what's our plan?|Więc jaki jest plan?|Jaki jest nasz plan?
Geralt|How the hell did you know about it?|Skellige Guard 04|Bramblin'! More like Simun Loose-lip. Ah, fine, come with me.|Skellige Guard 04|From Simun Brambling. He promised to forget if you take me to see the jarl.|Od Simuna Zięby. Który obiecuje, że jeśli puścisz mnie przed jarla, zapomni o całej sprawie.|Od Simuna Bramblinga. Obiecał zapomnieć, jeśli weźmiesz mnie do jarla.
Lambert|||||Not bad.|Nieźle.|Niezły.
Cirilla|Are you?|Verden Girl 02|Then I'm not either.|Verden Girl 02|No.|Nie.|Nie.
Succubus 03|That it? No heartrending story about human hatred for all things different, all things strange?|Geralt|||I'm not one to lie. Nor do I kill without reason.|Nie zwykłam kłamać. Nie zwykłam też zabijać bez powodu.|Nie jestem osobą, która kłamie. Ani też nie zabijam bez powodu.
Yennefer|That's about all I've learned.|Geralt|I'm not done searching in Velen yet.|Geralt|Good. You'll need to tell me more when we have some time.|Dobrze. Wrócimy do tematu, gdy będziemy mieli więcej czasu.|Dobrze. Opowiesz mi więcej, gdy będziemy mieć trochę czasu.
Novigrad Peasant Woman 01|They did - to defend them from monsters. And humans who can be monsters.|Geralt|Are you?|Geralt|And you believe me to be such?|A ty uwierzyłeś, że ja to potrafię.|I uważasz, że ja mogę być takim potworem?
Yennefer|How could I forget. Member of the Lodge… Elven Sage.|Geralt|Hmph… Your sorceress friends - the sage and not so sage - they've let me down before. But if we gotta, we gotta.|Geralt|Exactly. A Sage. As the name suggests, she should know a great deal. I'd like to ask her for advice about Uma. Satisfied?|Właśnie. Wiedząca, jak sama nazwa wskazuje, dużo wie – więc poradzę się jej w sprawie Umy. Zadowolony?|Dokładnie. Mędrczyni. Jak sama nazwa wskazuje, powinna dużo wiedzieć. Chciałabym poprosić ją o radę w sprawie Umy. Zadowolony?
Yennefer|Change of plans.|Geralt|Yeah. Gotta find him.|Geralt|So Dandelion knows what happened to Ciri?|Czyli Jaskier wie co z Ciri?|Tak. Musimy go znaleźć.
Geralt|"""Was"" - precisely. Zoltan lost her in a card game a few days ago."|Triss|I'll rest easier when they're both here, with us.|Triss|We will. We have to.|Musi nam się udać.|Musimy ich odnaleźć. Musimy.
Dwarf Man 01|At 'em!|Dwarf Man 02|||All together!|Kupą!|Wszystkie razem!
Geralt|You must speak to the quartermaster. He is dismissive of me, but he will be more candid with you. I can feel it. A mother feels these things.|Nilfgaardian Woman Old 01|I have come from far away… I… to seek my son. He served in the Nazairi cavalry. I must find him. I simply must.|Nilfgaardian Woman Old 01|Guess we'll see…|Ano, zobaczymy...|Chyba się przekonamy…
Skellige Guard 03|Surround him!|Skellige Guard 03|Sweet Freya…|Skellige Guard 03|No fear!|Nie bać się!|Nie ma strachu!
Yennefer|Of course I'm right.|Yennefer|Need a bit more time.|Geralt|Go. I'll wait here.|Idź, czekam tutaj.|Idź. Zaczekam tutaj.
Verden Warchild Boy 01|Owwww!|Verden Warchild Boy 01|Aaaaah!|Verden Warchild Boy 01|Hide!|Kryć się!|Ukryj się!
Mage 02|Ah yes, good day.|Mage 01|He blew himself up. Understand? Exploded. Took a good lot with him…|Mage 02|Aaaaaah.|Aaaaaah.|To nie one zaatakowały tych ludzi. Wiwerna królewska musi gdzieś się tu czaić.
Novigrad Refugee Woman 02|Heeeeelp!|Novigrad Refugee Woman 02|They've these special units that do naught but travel from village to village, murderin' folk…|Novigrad Refugee Woman 02|Oaf.|Łamaga.|Oaf.
Crach|What's this about the Nilfgaardians?|Geralt|We've yet to capture any of their crew, but only a fool wouldn't know they're planning something.|Crach|Of late, look seaward and you'll see their sun on a sail, starin' right back.|Ostatnio widujemy coraz więcej okrętów ze znakiem słońca na żaglu.|Ostatnio patrz na morze, a zobaczysz ich słońce na żaglu, które ci się przygląda.
Geralt|I told you, I said I love her with all my heart! Take me to her, please.|Graham|Course. I'm no coward, I'll not run this time.|Graham|It's dangerous, there are risks involved. Understand that, don't you?|To będzie ryzykowna wyprawa. Zdajesz sobie z tego sprawę?|To jest niebezpieczne, wiąże się z ryzykiem. Rozumiesz to, prawda?
Dijkstra|Why don't you handle this? Gotta have connections in the underworld. Whaddaya need a witcher for?|Geralt|For reasons that should be obvious, I'd prefer it if my temporary liquidity problems remained private… So I need an outsider.|Dijkstra|Agh. The gold wasn't mine alone. See, I run a members-only savings club, a bank for the initiated.|Widzisz... Te pieniądze nie należały wyłącznie do mnie. Można powiedzieć, że prowadzę taki bank dla wtajemniczonych.|Dlaczego sam tego nie załatwisz? Masz pewnie kontakty w półświatku. Po co ci do tego czarodziej?
Skellige Fisherman 04|Wonder where types like that come from?|Skellige Fisherman 04|Mind yer own arse.|Skellige Fisherman 04|Someone Crach summoned?|Kogóż to Crach sprowadził?|Kogoś Crach wezwał?
