;meta[language=en]
; id      |key(hex)|key(str)| text
    539847|00000000||I'm here.
    585731|00000000||Did you lose your way?
    585733|00000000||No. You just run too fast.
    585845|00000000||Or you've gotten old.
    539848|00000000||Shall we?
    559928|00000000||Sure, lead the way.
    559925|00000000||Yeah, let's go.
    559927|00000000||Wait, just remembered something. Be right back.
    560541|00000000||I'll wait here.
    559926|00000000||Gimme a minute.
    538453|00000000||Where's this friend of yours?
    538454|00000000||Hmm… There!
    538455|00000000||Valdo!
    538444|00000000||Why're you doing this again?
    538445|00000000||I want to look him in the eyes.
    538446|00000000||What then?
    538447|00000000||Don't know. Depends what I see.
    558929|00000000||See you outside the Golden Sturgeon!
    557893|00000000||A friend of Dandelion's. Her name's Bea.
    571111|00000000||She's a waitress at the Golden Sturgeon.
    538449|00000000||Helped me contact Dandelion.
    538450|00000000||I wish to thank her. She risked a lot.
    557961|00000000||Risked a lot? How's that?
    557914|00000000||The Temple Guard were breathing down my neck.
    557964|00000000||If she'd been seen with me, she might've been flogged, or worse.
    557928|00000000||Always getting into trouble…
    557930|00000000||I take after you.
    558330|00000000||Why're are we going to the Sturgeon?
    558332|00000000||To see a girl who helped me once.
    558334|00000000||Who might that be?
    538448|00000000||This girl we're going to see - who is she again?
    560512|00000000||What's there to see in Farcorners?
    560514|00000000||The camp of some traveling circus performers. Nonhumans.
    560516|00000000||When I came here before, I wanted to contact Triss.
    560518|00000000||Life was hard. I quickly spent nearly everything the baron gave me.
    560520|00000000||Triss and I never met, because the Temple Guard showed up.
    585703|00000000||I was a wanted woman afterwards.
    585705|00000000||Triss didn't try to contact you?
    585707|00000000||How could she? She didn't know anything.
    585709|00000000||In fact, she thought she was to meet another alchemist wanting to flee Novigrad.
    585711|00000000||I preferred not to put her in danger.
    560521|00000000||I was being hunted, had not a copper to my name.
    560522|00000000||Then I met Valdo.
    560523|00000000||He and his troupe helped me, then introduced me to Bea, and through Bea I found Dandelion.
    560533|00000000||You know the rest.
   1043355|00000000||I'll meet you there!
    558930|00000000||See you in Farcorners!
   1043844|00000000||I visited a city once that was very much like Novigrad.
   1058965|00000000||But the people there were much taller and had dark skin.
   1043846|00000000||This somewhere in Zerrikania?
   1058959|00000000||No. In another world.
   1058961|00000000||Hmm… What's it like, hopping between worlds?
   1058967|00000000||Anything like passing through a portal? Or different?
   1058963|00000000||A bit different.
   1058969|00000000||It was hard going at first.
   1058971|00000000||I wasn't very good at controlling it. So I had to concentrate intensely and hope I didn't land in the crater of an active volcano.
   1058986|00000000||The training I did with Avallac'h was very helpful.
