;meta[language=en]
; id      |key(hex)|key(str)| text
    320960|00000000||I won't let them take you.
    320972|00000000||I won't let them take you, you know that?
    320974|00000000||I know.
    561082|00000000||You gotta keep clear, stay out of trouble.
    320982|00000000||Don't treat me like a child.
    320984|00000000||Didn't even do that when you were one.
    320986|00000000||I like it when you smile.
    320988|00000000||Come here.
    320990|00000000||Everything will be all right.
    320964|00000000||They're after you. No matter what happens, you can't put yourself in danger.
    320966|00000000||Want me to sit and wait while others risk their lives for me?
    320968|00000000||Listen to me this once - don't take matters into your own hands.
    320958|00000000||Remember, you can't put yourself in danger.
    311661|00000000||Got a minute?
    320956|00000000||Oh. Serious talk coming.
    520472|00000000||It'll start soon.
    548190|00000000||Hahaha!
    586567|00000000||You were right. That really works!
    586570|00000000||Thanks.
    586572|00000000||Glad to be of service.
    586574|00000000||So what now?
    586576|00000000||I'll go see where our dearest Sage is…
    548186|00000000||Ha-ha! Geralt of Rivia, defeated! Need to work on those dodges.
    549111|00000000||Sure I didn't let you win?
    549151|00000000||Sure you're not smarting from a defeat by a true maestro? Heheh.
    547898|07606bf7||Treasurer
   1076927|00000000||Facing the Wild Hunt - a bit more intense than guerilla warfare.
    546798|00000000||I'll manage. Don't you fret.
   1076925|00000000||Ves… don't be mad.
    572659|00000000||Poor judgment bringing the kingslayer here.
    301032|5a979acb||Wild Hunt Warrior
    307008|103d66e3||Hare
    550116|00000000||Don't care.
    550129|00000000||Don't know and don't really care, to tell you the truth.
    550131|00000000||After this training with Avallac'h, we were gonna ride to Novigrad. Remember?
    550133|00000000||Change of plans. Imlerith will be at the sabbath. We'll get him there.
    550139|00000000||What's Avallac'h say?
    550147|00000000||Why do I doubt Avallac'h's a fan of this idea?
    550154|00000000||Do you see him here? I left him a letter, we'll rejoin him in Novigrad.
    554385|00000000||How'd you learn about the sabbath?
    554387|00000000||How'd you learn all this? Imlerith, the sabbath…
    554388|00000000||Avallac'h. He told me of those who chase us. Claims knowledge itself can tip the scales.
    550164|00000000||All right, Velen it is.
    550352|00000000||Lead on.
    550212|00000000||Wouldn't if I were you.
    550258|00000000||Ahh. You don't look good in black.
    550260|00000000||What do you mean?
    550262|00000000||Think he wants to meet you because he missed you? As I see it, he's got plans for you.
    550263|00000000||Ugh. Might've expected it…
    550354|00000000||Geralt, I'm fed up. I won't have others deciding for me behind my back. We ride for Velen.
    550235|00000000||Probably just wants to talk.
    550237|00000000||How can you be sure? What if he wants something more?
    550239|00000000||Promised me he wouldn't force you to do anything.
    550246|00000000||So I should go?
    550247|00000000||He is your father…
    550252|00000000||Vizima is on the way. I suppose we can drop in.
    550211|00000000||Yeah, you should.
    550218|00000000||Gotta make your own decision.
    550220|00000000||Oughta decide for yourself.
    550222|00000000||But I want your opinion - should I go or not?
    550177|00000000||Wait, something I gotta tell you before we go.
    550179|00000000||You know the emperor really wanted you found?
    550181|00000000||Yennefer… mentioned something.
    550183|00000000||Wanted you to visit him.
    550185|00000000||Why would you tell me now?
    550194|00000000||Cause this could be your last chance to see your… father.
    550197|00000000||Think I should go?
    550163|00000000||Gotta visit the emperor first.
    550162|00000000||Come, we shall talk on the way.
    550135|00000000||Ciri… Sure you know what you're getting into?
    550137|00000000||Yes. And I must do this.
    550138|00000000||Know what you're doing?
