en_text,pl_text,dialog_prototype,chrf_dialog_prototype,bleu_dialog_prototype,bertscore_dialog_prototype,comet_dialog_prototype
"Glad you to see you in one piece, too, Dandelion.","Cieszę się, że też jesteś cały.","Cieszę się, że widzę cię całego i zdrowego, Dandelion.",0.43013516542502045,0.11868405219520975,0.7925881743431091,0.8462957143783569
Yen tell you why she wants this?,"Yen wspomniała, po co jej to?","Czy Yen powiedział ci, dlaczego ona tego chce?",0.17918373022968048,0.02777619034011792,0.7944290041923523,0.8456095457077026
Greetings.,Witaj.,Cześć.,0.02777777777777787,0.0,0.7831059694290161,0.7922154664993286
Rally to me!,Do mnie!,Rally to me!,0.144234253823295,0.0,0.7717071175575256,0.6174377202987671
"Has the makings of an excellent queen, if she would only flee her father's shadow.","Byłaby świetną królową, gdyby udało jej się wyjść z cienia Cracha.","Ma wszystkie zalety doskonałej królowej, gdyby tylko uwolniła się od cienia swego ojca.",0.29679774055360203,0.020448007360218394,0.7906739115715027,0.8756007552146912
Did you catch 'im?,I co? Dopadłeś go?,Czy go złapałeś?,0.150366985949246,0.0,0.7757490277290344,0.9316281080245972
Didn't defend herself. Crept up on her while she slept.,"Nie broniła się. Musieli ją podejść, jak spała.","Nie broniła się. Podkradałem się do niej, gdy spała.",0.45480946500606395,0.12753431387594827,0.8402581810951233,0.8376762866973877
What's this help entail?,A ta pomoc ma polegać na...?,Co ta pomoc ma obejmować?,0.3595207394862361,0.21771262023986562,0.7244244813919067,0.9432680606842041
I knew you'd agree!,"Wiedziałam, że się zgodzisz!","Wiedziałam, że się zgodzisz!",1.0,1.0,1.0000001192092896,0.9898038506507874
I'm looking for Jad Karadin.,Szukam Bertrama Taulera.,I szukam Jad Karadina.,0.18541680426974486,0.0,0.7410014271736145,0.6573565006256104
Good health - to you and me both.,Zdrowia. Tobie i sobie życzę.,Dobre zdrowie - dla ciebie i dla mnie.,0.23680337074073354,0.02777619034011792,0.723003089427948,0.8331735134124756
"I'd made a deal with this young alchemist. She really loaded up - fisstech, vodka, magic mushrooms. Went out into the garden, vampire found her and drank his fill. Fight was an afterthought.","Dogadałem się z taką młodą alchemiczką... Nabombiła się fisstechem, wódką i grzybkami, po czym poszła do ogrodu. Wampir ją tam znalazł, napił się... No i walka była tylko formalnością.","Zawarłem umowę z tą młodą alchemiczką. Naprawdę poszła na całość - fisstech, wódka, grzybki halucynogenne. Wyszła do ogrodu, wampir ją znalazł i napił się do syta. Walka była dodatkiem.",0.4611028354237346,0.01120952841014909,0.7955657243728638,0.7697994112968445
What for?,Czemu to ma służyć?,Po co?,0.02237136465324394,0.0,0.687187671661377,0.7283540368080139
Don't sell herbs.,Nie handluję ziołami.,Nie sprzedawaj ziół.,0.13479665750114114,0.11362193664674995,0.7979995012283325,0.8349344730377197
Shaent tah'vir!,Shaent tah’vir!,Co to jest?!,0.04901960784313735,0.0,0.701483964920044,0.5358346700668335
Ghouls dug them up.,A ghule je odkopały.,Ghoule je wykopały.,0.48079885800474037,0.0814136751754278,0.8180270195007324,0.8387805819511414
"No strong cards, no gold king - shan't be entering, shall we? Do we not know the rules?","Nie ma silnych kart, nie ma złotego króla – nie wejdzie. Nie zna zasad?",Ale ja mam wystarczająco dużo monet!,0.07858247385487059,0.0,0.6582176089286804,0.47333621978759766
