en_text,pl_text,dialog_prototype1,dialog_prototype2,default,chrf_dialog_prototype1,bleu_dialog_prototype1,bertscore_dialog_prototype1,comet_dialog_prototype1,chrf_dialog_prototype2,bleu_dialog_prototype2,bertscore_dialog_prototype2,comet_dialog_prototype2,chrf_default,bleu_default,bertscore_default,comet_default
"Oof, place reeks of mould…",Ale tu cuchnie grzybem.,"Oof, to miejsce cuchnie pleśnią...","Ten lód... To zaklęcie. Musisz zniszczyć kostur czarodzieja, który je rzucił.","Uff, to miejsce cuchnie pleśnią...",0.2926497207069962,0.05372849659117709,0.7631834745407104,0.7602365016937256,0.14340866772578972,0.0,0.6753529906272888,0.4414469301700592,0.2926497207069962,0.05372849659117709,0.7596600651741028,0.7753402590751648
Shut up for a moment and look at me.,Zamknij się na moment i popatrz na mnie.,Zamknij się na chwilę i spójrz na mnie.,Zamknij się na chwilę i spójrz na mnie.,Zamilcz na chwilę i spójrz na mnie.,0.5317709511429687,0.18092176081223305,0.9292061924934387,0.9786748290061951,0.5317709511429687,0.18092176081223305,0.9292061924934387,0.9786748290061951,0.29602772787006376,0.07201170728284921,0.8420922160148621,0.9503797292709351
Greetings. Got anything in stock besides hoes and horseshoes?,Witaj. Masz na sprzedaż coś poza podkowami i motykami?,Witaj. Masz coś w sprzedaży poza motykami i podkowami?,Witaj. Masz coś w sprzedaży poza motykami i podkowami?,Dzień dobry. Czy macie coś w magazynie oprócz motyk i podków?,0.658520780759307,0.06376715693797415,0.9329680800437927,0.9507240653038025,0.658520780759307,0.06376715693797415,0.9329680800437927,0.9507240653038025,0.19638156752656447,0.022416933501922302,0.7433688640594482,0.8467084169387817
Where're my young'uns?! Aaargh!,Gdzie moje dzieci?! Aaaa!,Gdzie są moje dzieciaki?! Aaargh!,Gdzie są moje dzieciaki?! Aaargh!,Gdzie są moje maluchy?! Aaargh!,0.6587828822427754,0.06389431042462725,0.9081965088844299,0.9703462719917297,0.6587828822427754,0.06389431042462725,0.9081965088844299,0.9703462719917297,0.34474289289944426,0.06389431042462725,0.8877126574516296,0.966496467590332
"If these boys are here to help us kill rats, they're late. You paid up front and got what you paid for. Not half a rodent left in the granary.","Jeżeli przyprowadziłeś tych panów, żeby nam pomogli tępić szczury, to się spóźnili. Zapłaciłeś z góry i nie zawiedziesz się. W magazynie nie ma ani pół gryzonia.","Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.","Jeśli ci chłopcy mają tu pomóc nam pozabijać szczury, to spóźnili się o dobrych parę godzin. Zapłaciłeś z góry i dostałeś za co płaciłeś. W spichlerzu nie został nawet jeden szczur.","Jeśli ci chłopcy są tu po to, aby pomóc nam zabić szczury, spóźnili się. Zapłaciłeś z góry i dostałeś to, za co zapłaciłeś. Nie została nawet połowa szczura w spichlerzu.",0.10219749858716759,0.005304189045657985,0.653346061706543,0.4812566637992859,0.3788337342313519,0.10145249973866254,0.8206815123558044,0.8153002262115479,0.34202896404589866,0.08939270118279458,0.8162854313850403,0.805891752243042
"Has she mentioned anything? A possible advisory position? Beside a young, promising empress?","Czyżby chciała w swoim czasie zostać doradczynią młodej, obiecującej cesarzowej?","Czy wspominała o czymś? Możliwe stanowisko doradcy? Przy młodej, obiecującej cesarzowej?","Czy wspominała o czymś? Możliwe stanowisko doradcy? Obok młodej, obiecującej cesarzowej?","Czy wspomniała o czymkolwiek? Możliwe stanowisko doradcze? Oprócz młodej, obiecującej cesarzowej?",0.5261136107517393,0.09329460218997072,0.7971283197402954,0.7920261025428772,0.5261136107517393,0.09329460218997072,0.7978343367576599,0.8508205413818359,0.5477101781947622,0.09329460218997072,0.7885717153549194,0.7543463110923767
Strange. Never heard of anythin' similar.,Dziwne. Nigdy o czymś takim nie słyszałem.,"To samo za każdym razem - sidła wystrzelone, stratowana ziemia, krew, strzępy mięsa… Ale żadnej zwierzyny na widoku.","To samo za każdym razem - sidła pękają, ziemia stratowana, krew, strzępy mięsa… Ale żadnej zwierzyny w zasięgu wzroku.",Dziwne. Nigdy nie słyszałem o niczym podobnym.,0.15461832447047022,0.0,0.6627298593521118,0.36721616983413696,0.1541564123598579,0.0,0.6656312942504883,0.40787652134895325,0.6269447247053935,0.08307018474412793,0.9081769585609436,0.9749744534492493
"Once it was bread, then a fish, then apples… Might not seem like much, but add it together and the business suffers! And I'm hardly alone in being pestered. It's nicked something from every stand in the square!","Raz chleb, raz rybę, to znowu jabłka. No niby nic... Ale ziarnko do ziarnka i interes zaczyna przynosić straty! Zresztą, nie tylko mnie nachodzi, o nie, z każdego stoiska już coś zwinął!","Raz brało chleb, potem rybę, jabłka... Może to niewiele, ale sumując, interes cierpi! I nie jestem jedyny, którego to spotyka. Ukradło coś z każdego straganu na placu!","Raz brało chleb, potem rybę, jabłka... Może to niewiele, ale sumując, interes cierpi! I nie jestem jedyny, którego to spotyka. Ukradło coś z każdego straganu na placu!","Raz to był chleb, potem ryba, potem jabłka... Może się wydawać, że to niewiele, ale zsumuj to wszystko, a interes cierpi! I nie jestem jedyny, którego to dręczy. Ukradło coś z każdego straganu na placu!",0.2865346094465499,0.017865436542827705,0.7418378591537476,0.7333040237426758,0.2865346094465499,0.017865436542827705,0.7418378591537476,0.7333040237426758,0.2975192212719779,0.01588436203293868,0.7459360957145691,0.7469875812530518
So what's our plan?,Więc jaki jest plan?,Jaki jest nasz plan?,Co w takim razie robimy?,No to jaki jest nasz plan?,0.46119101486748554,0.09554427922043669,0.8606393933296204,0.9693777561187744,0.10841443488199846,0.0,0.7352918386459351,0.879382312297821,0.5172424419757592,0.09554427922043669,0.8612408638000488,0.9643741250038147
From Simun Brambling. He promised to forget if you take me to see the jarl.,"Od Simuna Zięby. Który obiecuje, że jeśli puścisz mnie przed jarla, zapomni o całej sprawie.","Od Simuna Bramblinga. Obiecał zapomnieć, jeśli weźmiesz mnie do jarla.","Od Simuna Bramblinga. Obiecał zapomnieć, jeśli weźmiesz mnie do jarla.","Od Simuna Bramblinga. Obiecał zapomnieć, jeśli zabierzesz mnie do jarla.",0.3185291838852136,0.03219290164685344,0.816714882850647,0.6364562511444092,0.3185291838852136,0.03219290164685344,0.816714882850647,0.6364562511444092,0.3265104937995104,0.03219290164685344,0.8149800896644592,0.6546034216880798
Not bad.,Nieźle.,Nie najgorzej.,Nieźle.,Niezłe.,0.18991607807397282,0.0,0.8228441476821899,0.815953254699707,1.0,0.1778279410038923,0.9999998807907104,0.9887509346008301,0.23571428571428568,0.0,0.9209669828414917,0.9410452246665955
No.,Nie.,Nie.,Nie.,Nie.,0.6666666666666666,0.1778279410038923,1.0,0.975537121295929,0.6666666666666666,0.1778279410038923,1.0,0.9755370020866394,0.6666666666666666,0.1778279410038923,1.0,0.9755370020866394
I'm not one to lie. Nor do I kill without reason.,Nie zwykłam kłamać. Nie zwykłam też zabijać bez powodu.,"Nie jestem taka, która by kłamała. Ani też nie zabijam bez powodu.","Nie jestem osobą, która kłamie. Ani też nie zabijam bez powodu.","Nie jestem kimś, kto kłamie. Ani nie zabijam bez powodu.",0.4111321381600142,0.0428361950754725,0.80702805519104,0.9242244362831116,0.3586789779917985,0.04740604259878138,0.7849251627922058,0.9320253133773804,0.35617490071752916,0.04939382737115371,0.771260678768158,0.9058722853660583
Good. You'll need to tell me more when we have some time.,"Dobrze. Wrócimy do tematu, gdy będziemy mieli więcej czasu.","Dobrze. Opowiesz mi więcej, gdy będziemy mieć trochę czasu.","Dobrze. Opowiesz mi więcej, gdy będziemy mieć trochę czasu.","Dobrze. Musisz mi powiedzieć więcej, kiedy będziemy mieli trochę czasu.",0.5340097937108855,0.06030725360407769,0.8664308190345764,0.8978089094161987,0.5340097937108855,0.06030725360407769,0.8664308190345764,0.8978089094161987,0.5116835729111513,0.05307712171072445,0.8525988459587097,0.884859025478363
And you believe me to be such?,"A ty uwierzyłeś, że ja to potrafię.","I uważasz, że ja mogę być takim potworem?",Czy uważasz się za jedną z takich osób?,I uważasz mnie za takiego?,0.19163729359002526,0.05873949094699214,0.79498690366745,0.7008240818977356,0.10929808207874762,0.0,0.6771513223648071,0.6384099125862122,0.08898639640689117,0.0,0.7028967142105103,0.7204955220222473
"Exactly. A Sage. As the name suggests, she should know a great deal. I'd like to ask her for advice about Uma. Satisfied?","Właśnie. Wiedząca, jak sama nazwa wskazuje, dużo wie – więc poradzę się jej w sprawie Umy. Zadowolony?","Dokładnie. Członek loży... Elfi uczony. Jak sama nazwa wskazuje, powinna dużo wiedzieć. Chciałabym poprosić ją o radę w sprawie Umy. Zadowolony?","Dokładnie. Mędrczyni. Jak sama nazwa wskazuje, powinna dużo wiedzieć. Chciałabym poprosić ją o radę w sprawie Umy. Zadowolony?","Dokładnie. Mędrzec. Jak sugeruje jej imię, powinna wiedzieć bardzo dużo. Chciałbym poprosić ją o radę dotyczącą Umy. Zadowolony?",0.5775252527537463,0.17001078098404226,0.801331102848053,0.6742298603057861,0.5875753828204097,0.20105373454060027,0.8288759589195251,0.7706438302993774,0.35007366631279896,0.025281168697394947,0.7756252288818359,0.7175490856170654
So Dandelion knows what happened to Ciri?,Czyli Jaskier wie co z Ciri?,Tak. Trzeba go znaleźć.,Tak. Musimy go znaleźć.,"Czy Dandelion wie, co stało się z Ciri?",0.0737597867056444,0.0,0.6258189082145691,0.5911254286766052,0.0737597867056444,0.0,0.6430690288543701,0.5877810716629028,0.3146825444548711,0.06500593260343691,0.8186222314834595,0.8327245712280273
We will. We have to.,Musi nam się udać.,Musimy ich odnaleźć. Nie mamy wyboru.,"Myślałam, że już po niej.",My zrobimy. My musimy.,0.2282759735611051,0.0,0.767671525478363,0.6618175506591797,0.09688561058424079,0.0,0.7473986744880676,0.5440105199813843,0.11134353485099759,0.0,0.6644235849380493,0.6532058119773865
All together!,Kupą!,Wszystkie razem!,Wszyscy razem!,Wszyscy razem!,0.02777777777777787,0.0,0.8025573492050171,0.7393831610679626,0.02873563218390814,0.0,0.8017890453338623,0.717901885509491,0.02873563218390814,0.0,0.8017890453338623,0.717901885509491
Guess we'll see…,"Ano, zobaczymy...",Chyba się przekonamy…,Przyjdźmy więc zobaczyć...,Zobaczymy...,0.10358608337677273,0.0,0.6532106399536133,0.888878345489502,0.3971721617905289,0.0,0.7692784070968628,0.7538398504257202,0.6427051774152722,0.0,0.8723753094673157,0.9582723379135132
No fear!,Nie bać się!,Nie ma się czego bać!,Nie ma się czego bać!,Bez strachu!,0.31632728774836016,0.05372849659117709,0.9045855402946472,0.9549745917320251,0.31632728774836016,0.05372849659117709,0.9045855402946472,0.9549745917320251,0.06600660066006611,0.0,0.8095924258232117,0.8803311586380005
Go. I'll wait here.,"Idź, czekam tutaj.",Idź. Zaczekam tutaj.,Idź. Zaczekam tutaj.,Idź. Poczekam tutaj.,0.7530654763134702,0.11362193664674995,0.861615777015686,0.9378674626350403,0.7530654763134702,0.11362193664674995,0.861615777015686,0.9378674626350403,0.7530654763134702,0.11362193664674995,0.8709148168563843,0.938372790813446
Hide!,Kryć się!,Ukryj się!,Ukryj się!,Ukryj się!,0.3046780510437411,0.1495348781221221,0.8887434601783752,0.8989692330360413,0.3046780510437411,0.1495348781221221,0.8887434601783752,0.8989692330360413,0.3046780510437411,0.1495348781221221,0.8887434601783752,0.8989692330360413
