en_text,pl_text,dialog_prototype,chrf_dialog_prototype,bleu_dialog_prototype,bertscore_dialog_prototype,comet_dialog_prototype
"Oof, place reeks of mould…",Ale tu cuchnie grzybem.,Tutaj śmierdzi pleśnią...,0.11621872261500643,0.0,0.7432526350021362,0.7636536359786987
Shut up for a moment and look at me.,Zamknij się na moment i popatrz na mnie.,To nie one zaatakowały tych ludzi. Wiwerna królewska musi gdzieś się tu czaić.,0.15296105766339704,0.01553712569276035,0.6856087446212769,0.3797155022621155
Greetings. Got anything in stock besides hoes and horseshoes?,Witaj. Masz na sprzedaż coś poza podkowami i motykami?,Dzień dobry. Masz może coś oprócz wideł i podków?,0.18619488398627293,0.03155984539112946,0.7648726105690002,0.6732975840568542
Where're my young'uns?! Aaargh!,Gdzie moje dzieci?! Aaaa!,Gdzie są moje dzieci?! Aaargh!,0.7519118770125036,0.12574334296829354,0.9276907444000244,0.9689540863037109
"If these boys are here to help us kill rats, they're late. You paid up front and got what you paid for. Not half a rodent left in the granary.","Jeżeli przyprowadziłeś tych panów, żeby nam pomogli tępić szczury, to się spóźnili. Zapłaciłeś z góry i nie zawiedziesz się. W magazynie nie ma ani pół gryzonia.","Jeśli ci chłopcy mają nam pomagać w zabijaniu szczurów, to się spóźnili. Zapłaciłeś z góry i masz to, za co zapłaciłeś. Nie ma już prawie ani jednego szczura w spichlerzu.",0.4014699027708227,0.2066736214472914,0.8243215084075928,0.8071070313453674
"Has she mentioned anything? A possible advisory position? Beside a young, promising empress?","Czyżby chciała w swoim czasie zostać doradczynią młodej, obiecującej cesarzowej?","Czy wspomniała o czymkolwiek? Możliwe stanowisko doradcy? Przy młodej, obiecującej cesarzowej?",0.5357137706258671,0.09329460218997072,0.7866561412811279,0.7861776947975159
Strange. Never heard of anythin' similar.,Dziwne. Nigdy o czymś takim nie słyszałem.,Dziwne. Nigdy nie słyszałem o czymś takim.,0.8245980662548499,0.10445522730720382,0.9591122269630432,0.986899733543396
"Once it was bread, then a fish, then apples… Might not seem like much, but add it together and the business suffers! And I'm hardly alone in being pestered. It's nicked something from every stand in the square!","Raz chleb, raz rybę, to znowu jabłka. No niby nic... Ale ziarnko do ziarnka i interes zaczyna przynosić straty! Zresztą, nie tylko mnie nachodzi, o nie, z każdego stoiska już coś zwinął!","Raz brało chleb, potem rybę, jabłka... Może to niewiele, ale sumując, interes cierpi! I nie jestem jedynym, którego to spotyka. Ukradło coś z każdego straganu na placu!",0.2863466960600762,0.017865436542827705,0.7409273982048035,0.7343686819076538
So what's our plan?,Więc jaki jest plan?,Jaki jest nasz plan?,0.46119101486748554,0.09554427922043669,0.8606393933296204,0.9693777561187744
From Simun Brambling. He promised to forget if you take me to see the jarl.,"Od Simuna Zięby. Który obiecuje, że jeśli puścisz mnie przed jarla, zapomni o całej sprawie.","Od Simuna Bramblinga. Obiecał zapomnieć, jeśli weźmiesz mnie do jarla.",0.3185291838852136,0.03219290164685344,0.816714882850647,0.6364562511444092
Not bad.,Nieźle.,Niezły.,0.1841269841269841,0.0,0.9047256708145142,0.9180766940116882
No.,Nie.,Nie.,0.6666666666666666,0.1778279410038923,1.0,0.9755370020866394
I'm not one to lie. Nor do I kill without reason.,Nie zwykłam kłamać. Nie zwykłam też zabijać bez powodu.,"Nie jestem osobą, która kłamie. Ani też nie zabijam bez powodu.",0.3586789779917985,0.04740604259878138,0.7849251627922058,0.9320253133773804
Good. You'll need to tell me more when we have some time.,"Dobrze. Wrócimy do tematu, gdy będziemy mieli więcej czasu.","Dobrze. Opowiesz mi więcej, gdy będziemy mieć trochę czasu.",0.5340097937108855,0.06030725360407769,0.8664308190345764,0.8978089094161987
And you believe me to be such?,"A ty uwierzyłeś, że ja to potrafię.","I uważasz, że ja mogę być takim potworem?",0.19163729359002526,0.05873949094699214,0.79498690366745,0.7008239030838013
"Exactly. A Sage. As the name suggests, she should know a great deal. I'd like to ask her for advice about Uma. Satisfied?","Właśnie. Wiedząca, jak sama nazwa wskazuje, dużo wie – więc poradzę się jej w sprawie Umy. Zadowolony?","Dokładnie. Mędrczyni. Jak sama nazwa wskazuje, powinna dużo wiedzieć. Chciałabym poprosić ją o radę w sprawie Umy. Zadowolony?",0.5875753828204097,0.20105373454060027,0.8288759589195251,0.7706438302993774
So Dandelion knows what happened to Ciri?,Czyli Jaskier wie co z Ciri?,Tak. Musimy go znaleźć.,0.0737597867056444,0.0,0.6430690288543701,0.5877810716629028
We will. We have to.,Musi nam się udać.,Musimy ich odnaleźć. Musimy.,0.23871336996336992,0.0,0.7481247782707214,0.6435397267341614
All together!,Kupą!,Wszystkie razem!,0.02777777777777787,0.0,0.8025573492050171,0.7393831610679626
Guess we'll see…,"Ano, zobaczymy...",Chyba się przekonamy…,0.10358608337677273,0.0,0.6532106399536133,0.888878345489502
No fear!,Nie bać się!,Nie ma strachu!,0.15300999383272734,0.11362193664674995,0.8360109925270081,0.9145788550376892
Go. I'll wait here.,"Idź, czekam tutaj.",Idź. Zaczekam tutaj.,0.7530654763134702,0.11362193664674995,0.861615777015686,0.9378674626350403
Hide!,Kryć się!,Ukryj się!,0.3046780510437411,0.1495348781221221,0.8887434601783752,0.8989692330360413
Aaaaaah.,Aaaaaah.,To nie one zaatakowały tych ludzi. Wiwerna królewska musi gdzieś się tu czaić.,0.09756189613526577,0.0,0.6372281312942505,0.4348495304584503
Oaf.,Łamaga.,Oaf.,0.04975124378109461,0.0,0.7141699194908142,0.5438960194587708
"Of late, look seaward and you'll see their sun on a sail, starin' right back.",Ostatnio widujemy coraz więcej okrętów ze znakiem słońca na żaglu.,"Ostatnio patrz na morze, a zobaczysz ich słońce na żaglu, które ci się przygląda.",0.3259719042471258,0.0169861974906263,0.7474419474601746,0.5254164338111877
"It's dangerous, there are risks involved. Understand that, don't you?",To będzie ryzykowna wyprawa. Zdajesz sobie z tego sprawę?,"To jest niebezpieczne, wiąże się z ryzykiem. Rozumiesz to, prawda?",0.21385675976772722,0.025098621243978974,0.7229844927787781,0.8254719376564026
"Agh. The gold wasn't mine alone. See, I run a members-only savings club, a bank for the initiated.","Widzisz... Te pieniądze nie należały wyłącznie do mnie. Można powiedzieć, że prowadzę taki bank dla wtajemniczonych.",Dlaczego sam tego nie załatwisz? Masz pewnie kontakty w półświatku. Po co ci do tego czarodziej?,0.15047045645812218,0.014628063653657535,0.6493767499923706,0.6285887360572815
Someone Crach summoned?,Kogóż to Crach sprowadził?,Kogoś Crach wezwał?,0.22539180277759915,0.0814136751754278,0.8539108037948608,0.7694898843765259
Maybe that your wife's with child…?,Że twoja żona jest przy nadziei…,Może że twoja żona jest w ciąży...?,0.48139317083447114,0.16348126556655487,0.7442078590393066,0.695030689239502
"Greetings, stranger. Have a drink with us.","Witaj, nieznajomy. Napij się z nami.","Witaj, obcy. Napij się z nami.",0.6095565756896172,0.537284965911771,0.926197350025177,0.9166661500930786
"This is a misunderstanding… but fine, take them. Though I'll need a receipt, wouldn't wanna lose anything.","To jakieś nieporozumienie... No, ale trudno, bierzcie. Tylko chcę jakieś pokwitowanie, żeby nic się nie zgubiło.","To nieporozumienie… ale dobrze, weźcie ich. Tylko potrzebuję pokwitowania, nie chciałbym niczego stracić.",0.37897715733012505,0.017444714791376905,0.7905498743057251,0.8217909336090088
Mhm?,Mhm?,Mhm?,0.6666666666666666,0.1778279410038923,1.0,0.9934597015380859
I got the look of a Skelliger?,Wyglądam na mieszkańca Skellige?,Czyżbym miał wygląd Skelligeńczyka?,0.36609964265099904,0.0,0.7607189416885376,0.7622399926185608
"You're on everyone's tongues, you know! Coin and fame aplenty now, eh?","Wiesz, ostatnio dostałeś się na języki! Sława i pieniądze, co?","Jesteś na ustach wszystkich! Teraz masz pełno pieniędzy i sławy, co?",0.22713963533874393,0.024808415001701823,0.7819840908050537,0.8075960278511047
The White Wolf.,Biały Wilk.,Biały Wilk.,1.0,0.316227766016838,1.0,0.9878442883491516
His debtors have tended to disappear without a trace.,No tak. Jego dłużnicy mieli skłonność do znikania bez śladu.,Jego dłużnicy mają tendencję do znikania bez śladu.,0.5795847527545889,0.3201911827891037,0.8886445760726929,0.9594163298606873
Eternal Fire which is our hope…,"Wieczny Ogień, który jest nadzieją...","Wieczny ogień, który jest naszą nadzieją...",0.8332152003735737,0.10266900960803409,0.9495595693588257,0.9604079127311707
