en_text,pl_text,dialog_prototype,chrf_dialog_prototype,bleu_dialog_prototype,bertscore_dialog_prototype,comet_dialog_prototype
How could you put Ciri in danger?!,Jak mogłeś tak narażać Ciri?!,Jak mogłeś narazić Ciri na niebezpieczeństwo?!,0.46198339837900076,0.08633400213704504,0.8653714656829834,0.9412118792533875
Oof… There'd be hell to pay.,Uuuu... Działoby się.,Ale byłoby piekło.,0.1123003144924718,0.0,0.7209441065788269,0.6482301354408264
"Wanna talk to the letter's recipient, I gotta be present.","Jeśli chcesz porozmawiać z adresatką listu, to tylko w moim towarzystwie.","Chcesz porozmawiać z adresatem listu, muszę być obecny.",0.4522164634552575,0.0446778805361507,0.7988650798797607,0.7003758549690247
"A'right, your turn. Unless you can stand up for us.","No, teraz twoja kolej. Chyba że wstaniesz.","Dobrze, twoja kolej. Chyba że możesz stanąć za nas.",0.5627915636887728,0.2984745896009823,0.8373515605926514,0.8171138167381287
"Quite fortunate, in fact, as now, on the eve of war, we need a more experienced leader.","Zresztą teraz, w obliczu wojny, potrzebujemy bardziej doświadczonego przywódcy.","Cóż za szczęśliwy zbieg okoliczności, ponieważ teraz, w przededniu wojny, potrzebujemy bardziej doświadczonego przywódcy.",0.7716297301767266,0.30576902884505114,0.8589461445808411,0.9086449146270752
Who are you? Why are you here? Answer this instant or I'll summon the guards!,"Kim jesteś? Co tu robisz? Odpowiadaj natychmiast, bo wezwę straż!",Kim jesteś? Po co tu jesteś? Odpowiadaj natychmiast albo wezwę strażników!,0.6994398769634792,0.05012578715739066,0.896857500076294,0.9688383340835571
I know how to choose 'em.,Innego bym nie wybrał.,Wiem jak je wybierać.,0.1649444025110592,0.0,0.7455503940582275,0.6230506300926208
"Sorry, Dandelion. Maybe later.","Wybacz, może innym razem.","Przepraszam, Dandelion. Może później.",0.14565028593981105,0.0,0.7300160527229309,0.7413102388381958
I'll catch up to you.,Dogonię cię.,Dogonię cię.,1.0,0.316227766016838,1.0,0.9809273481369019
"Gods of the sea, I've never begrudged ye no gifts. Grant me another victory, so I can make ye another offerin' of me loot.","Bogowie morza, nigdy nie skąpiłem wam darów. Dajcie mi kolejne zwycięstwo, bym mógł wam złożyć jeszcze jedną ofiarę z łupów.","Bogowie morza, nigdy nie żałowałem ci darów. Daj mi kolejne zwycięstwo, abym mógł złożyć ci kolejną ofiarę z moich łupów.",0.6221309913375809,0.2118008548235711,0.9147447943687439,0.8876384496688843
"I don't like you, White One.","Nie podobasz mi się, białowłosy.","Nie lubię cię, Biała Jedynko.",0.15942018844562972,0.05372849659117709,0.749769389629364,0.6671502590179443
