;meta[language=pl]
; id      |key(hex)|key(str)| text
    170811|72cb8ee5||Utopiec
    581146|00000000||Aaaaaa!
    581147|00000000||Litości!
   1061012|00000000||Rozwiąż mnie! Szybko!
    581145|00000000||Pomocy!
    581222|00000000||Dziękuję...
    584339|00000000||Trzeba cię opatrzyć?
    581225|00000000||Poradzę sobie.
    584342|00000000||Łowcy mogą wrócić...
    584344|00000000||Mnie już tu nie znajdą.
    584346|00000000||Powodzenia.
    584348|00000000||Przyda się.
    584658|00000000||Odwrót? Przecież nie przegraliśmy wojny.
    584660|00000000||Cicho.
    584662|00000000||Mieliśmy całą Północ jak na talerzu. I co się niby stało?
    584712|00000000||Zamknij się, bo dostaniesz czapę z paragrafu o podżeganiu do buntu.
    580688|00000000||Redańczycy zaraz tu będą.
    577580|00000000||Decyzję trzeba podjąć natychmiast. A jeśli nie zrobi tego cesarz, zajmie się tym ktoś inny.
    577582|00000000||Jak śmiesz?!
    577589|00000000||Jego Wysokość byłby już zimnym trupem, gdyby dziś w nocy moi ludzie nie zatrzymali skrytobójcy.
    577591|00000000||I myślisz, że to daje ci prawo do takiej arogancji?
    577593|00000000||Myślę, że następny zamach to kwestia czasu, i nie wiem, czy znów nam się uda.
    577597|00000000||Co z hierarchą Novigradu?
    577599|00000000||A co ma być?
    577613|00000000||Przejście na zasłużony odpoczynek czy od razu do Darn Ruach?
    577615|00000000||W jego wieku podróż byłaby niewskazana. I kosztowna.
    577617|00000000||Mhm.
   1068673|00000000||No dobra. Chodźmy.
    578175|00000000||A ciebie kto nauczył tej sztuczki?
    553330|00000000||Vesemir. Dawno temu.
    562382|00000000||Jak dawno?
    553331|00000000||Bardzo dawno. Kiedy jeszcze na serio rozważałem przedstawianie się jako Geralt Roger Eryk du Haute-Bellegarde.
    572394|00000000||Co? Ha, ha.
    578177|00000000||Opowiem ci o tym wieczorem.
   1068675|00000000||I o tym, jak się założyłeś, że wskoczysz na grzbiet konia z dachu Kaer Morhen, i złamałeś nogę?
   1068677|00000000||Hm, a ty skąd to wiesz?
   1068679|00000000||Eskel mi opowiedział. Ale chciałabym też usłyszeć twoją wersję. Na pewno jakoś to wyjaśnisz.
    584083|00000000||Świeży trop... Medalion drży. Może by tak wypróbować...
    172329|52a3f146||Chłop
    577437|00000000||Męczy się już...
    577438|00000000||Stara wadera.
    578820|00000000||Jeszcze walczy.
    578821|00000000||Wie, że zdechnie.
   1030982|d9a6387b||Temerski żołnierz
   1051892|00000000||Ślady kransoluda...
    579138|00000000||Ktoś na mnie czeka.
    579129|00000000||Ktoś na mnie czeka.
    579130|00000000||Triss Merigold? Nie bój się, nie zamierzam jej ścigać.
    579126|00000000||Yennefer mnie potrzebuje. Nie zostawię jej.
    579127|00000000||Rozumiem.
    579897|00000000||Nie twoja sprawa.
    579901|00000000||To nie twoja sprawa. Już nie.
    580118|00000000||Hmmm.
    579142|00000000||Nie wypadłeś za dobrze w roli ojca...
    579144|00000000||Nie wypadłeś za dobrze w roli ojca. Ciri uważała cię za zagrożenie.
    580462|00000000||Jeśli nawet chciałaby ci coś przekazać, nie sądzę, żebyś chciał to zapamiętać jako jej ostatnie słowa do ciebie.
    579145|00000000||Rozumiem.
    579143|00000000||Wcale o tobie nie mówiła.
    579148|00000000||Nie rozmawialiśmy o tobie.
    580471|00000000||Rozumiem.
    579135|00000000||Jeśli to wszystko, pójdę już.
    577341|00000000||Nie wszystko. Ale możesz odejść.
    579136|00000000||Wiedźminie. Nie chcę was... Nie chcę cię więcej widzieć.
    579146|00000000||Żałowała, że nie może się z tobą pożegnać.
    579147|00000000||Naprawdę sama ci to powiedziała?
    580421|00000000||Nie musiała. Wiem, że chciała się z tobą pogodzić.
    579141|00000000||Żałowała, że nie może się pożegnać.
    579140|00000000||Czy Cirilla mówiła coś... Chciała mi coś przekazać?
    579123|00000000||Po wojnie zawsze jest dużo pracy dla wiedźmina. Pojadę na wschód, a może na północ...
    579137|00000000||Po wojnie jest dużo roboty.
    576114|00000000||Gdzie ciało?
    576122|00000000||Nie sądzę, aby kiedykolwiek udało się je odnaleźć.
    577275|00000000||Kto jeszcze wie?
    577277|00000000||Avallac’h, elfi wiedzący... Ale raczej go nie znajdziesz.
    579115|00000000||A Yennefer?
    576167|00000000||Postanowiła zostać na Północy. Jeśli nie masz nic przeciwko.
    579116|00000000||Nie mam. A co z tobą?
    573735|00000000||Mów.
    575807|00000000||Ciri nie żyje.
    575833|00000000||Jak to się stało?
    576006|00000000||Znasz przepowiednię o Białym Zimnie. Ciri próbowała zapobiec zagładzie świata. I udało się, ale zapłaciła najwyższą cenę.
   1058925|00000000||Dość.
    582651|00000000||Krasnoludy chowają się w krzakach.
    582644|00000000||Gdzie krasnoludy?
    583360|00000000||Jakie krasnoludy?
    583362|00000000||Nie mamy czasu na takie gierki. Komendant musi odzyskać kielich, który mu ukradły.
    583364|00000000||Mów, gdzie są złodzieje, bo...
    582653|00000000||Krasnoludów tu nie ma.
    582638|00000000||Nie ma tu krasnoludów.
    582645|00000000||Gdzie krasnoludy?
    583424|00000000||Jakie krasnoludy?
    583425|00000000||Nie pogrywaj ze mną, wiedźminie. Ukradły złoty kielich wielmożnego Dagborga.
    583437|00000000||A kto to taki?
    583438|00000000||Nowy zarządca tych terenów.
    583442|00000000||Kielich musi się znaleźć. Mów, co wiesz, albo to z ciebie wyciągniemy.
    582654|00000000||Wiedziałem! Niech ci Wieczny Ogień wynagrodzi. Brać ich!
    583472|00000000||Nie wierzę! Co za skurwiel z tego wiedźmina!
    582656|00000000||Dzięki, wiedźminie. Brać ich!
    582655|00000000||Dzięki, wiedźminie. Brać ich!
    582641|00000000||Krasnoludy chowają się w krzakach.
    583340|00000000||Grozicie mi?
    583336|00000000||Grozicie mi?
    583366|00000000||Wiedźmin nie chce współpracować. Brać go.
    583358|00000000||Grozicie mi?
    583445|00000000||Widzę, że nie ma co prosić po dobroci.
    583447|00000000||Brać go!
    583348|00000000||Nie podoba mi się twój ton, odmieńcu. Nie zmuszaj mnie, żebym nauczył cię szacunku do sług Wiecznego Ognia.
    583350|00000000||Spróbuj.
    583439|00000000||Grozicie mi?
    582642|00000000||Nie ma tu krasnoludów.
    582661|00000000||Chcesz mi wmówić, że to twoje obozowisko? Pięć kubków, pięć derek? To wszystko twoje?
    583410|00000000||Tropię te krasnoludy od dawna. Wyprzedzają mnie o jakieś dwa dni. Opuściły to obozowisko w pośpiechu. Coś musiało je wypłoszyć.
    583413|00000000||A czemu je tropisz?
    583415|00000000||Coś mi ukradły.
    583417|00000000||Cwane sztuki, żeby wiedźmina podejść.
    583419|00000000||Idziemy. Jeśli je dorwiesz... a zresztą. Jutro wymarsz.
    582662|00000000||Chcesz mi wmówić, że to twoje obozowisko? Pięć kubków, pięć derek? To wszystko twoje?
    583450|00000000||Tropię te krasnoludy od dawna. Wyprzedzają mnie o jakieś dwa dni. Opuściły to obozowisko w pośpiechu. Coś musiało je wypłoszyć.
    583452|00000000||A czemu je tropisz?
    583454|00000000||Mnie też coś ukradły.
    583456|00000000||Cwane sztuki, wiedźmina podejść.
    583458|00000000||Dobra, idziemy. Jeszcze je dorwiemy.
    583421|00000000||Chcesz mi wmówić, że to twoje obozowisko? Pięć kubków, pięć derek? To wszystko twoje?
    582660|00000000||Tropię te krasnoludy od dawna. Wyprzedzają mnie o jakieś dwa dni. Opuściły to obozowisko w pośpiechu. Coś musiało je wypłoszyć.
    583344|00000000||Hm...
    583346|00000000||Może usłyszały o gniewie wielebnego Michelisa.
    583407|00000000||Idziemy. A ty lepiej nie wchodź nam w drogę, mutancie.
    582640|00000000||Nie ma tu krasnoludów.
    582639|00000000||Krasnoludy chowają się w krzakach.
    582637|00000000||Krasnoludy chowają się w krzakach.
    583321|00000000||Kto to ten wielebny Michelis?
    583323|00000000||Kto to ten wielebny Michelis?
    583325|00000000||Świątobliwy wędrowny kaznodzieja, namaszczony przez samego hierarchę. Uwolnił już tysiące dusz.
    583327|00000000||Przez uwolnienie rozumiesz... hm, wyzwalający ogień stosu?
    583329|00000000||A da się jakoś inaczej?
    582643|00000000||Gdzie krasnoludy?
    583297|00000000||Jakie krasnoludy?
    583299|00000000||Nie udawaj, że nie wiesz. Ścigamy ich od wczoraj. Ukradli złoty kielich wielebnego Michelisa.
    583300|00000000||Każdy, kto pomaga przestępcom, stanie przed Świętym Trybunałem Wiecznego Ognia.
    170734|00017dcc||Chłopiec
   1061202|7baad1c6||Temerski żołnierz
    583647|00000000||Srebrny wiedźmiński miecz...
    583648|00000000||I jak?
    583649|00000000||Cudo. Mogę?
    583650|00000000||Lepiej nie tutaj. Niedługo będziesz miała dość okazji, wiedźminko.
    583651|00000000||Co to za inskrypcja?
    583652|00000000||Stare wiedźmińskie motto. Też miałem kiedyś podobny miecz. Ale ten jest lepszy... O wiele lepszy.
