en_text,pl_text,cot,cot_few_shot,chrf_cot,bleu_cot,bertscore_cot,comet_cot,chrf_cot_few_shot,bleu_cot_few_shot,bertscore_cot_few_shot,comet_cot_few_shot
"I am the best artist, are you a good artist?","Jestem najlepszym artystą, czy ty jesteś dobrą artystką?","Jestem najlepszym artystą, czy ty jesteś dobrą artystką?","Jestem najlepszym artystą. A Ty, czy jesteś dobrą artystką?",1.0,1.0,1.0,0.9843007922172546,0.8681495022426876,0.1561969968460128,0.9349486231803894,0.9648504853248596
"I am the best artist, are you a good artist?","Jestem najlepszą artystką, czy ty jesteś dobrym artystą?","Jestem najlepszą artystką, czy ty jesteś dobrym artystą?","Jestem najlepszą artystką, a ty jesteś dobrym artystą?",1.0,1.0,1.0,0.9825833439826965,0.8840092466090148,0.5,0.9729660749435425,0.9529237747192383
"I am the best artist, are you a good artist?","Jestem najlepszym artystą, czy ty jesteś dobrym artystą?","Jestem najlepszym artystą, czy ty jesteś dobrym artystą?","Jestem najlepszym artystą, a ty jesteś dobrym artystą?",1.0,1.0,1.0,0.9830886721611023,0.8840092466090148,0.5,0.9765695929527283,0.9568210244178772
"I am the best artist, are you a good artist?","Jestem najlepszą artystką, czy ty jesteś dobrą artystką?",Jestem najlepszą artystką. Czy ty jesteś dobrą artystką?,"Jestem najlepszą artystką, a ty? Jesteś dobra w tym, co robisz?",0.9017428993154181,0.4111336169005197,0.9529473781585693,0.9721449017524719,0.6392190652762982,0.09329460218997072,0.837920069694519,0.9060376286506653
"I almost killed him, and what did you do?","Prawie go zabiłem, a ty co zrobiłeś?","Prawie go zabiłem, i co ty zrobiłeś?","Niemal go zabiłem, a co ty zrobiłeś?",0.7560475816222944,0.1944130841813964,0.9721099734306335,0.9803158640861511,0.5959372470866725,0.1944130841813964,0.9324532151222229,0.9798728823661804
"I almost killed him, and what did you do?","Prawie go zabiłem, a ty co zrobiłaś?","Prawie go zabiłem, a co ty zrobiłaś?","Prawie go zabiłem, a co ty zrobiłaś?",0.7925524071501083,0.4728708045015879,0.9777315855026245,0.9872337579727173,0.7925524071501083,0.4728708045015879,0.9777315855026245,0.9872338175773621
"I almost killed him, and what did you do?","Prawie go zabiłam, a ty co zrobiłeś?","Prawie go zabiłam, i co ty zrobiłeś?","Prawie go zabiłam, i co pan zrobił?",0.7560475816222944,0.1944130841813964,0.9720830917358398,0.9789924621582031,0.6431056494578622,0.17567205239427922,0.9311006665229797,0.9573395848274231
"I almost killed him, and what did you do?","Prawie go zabiłam, a ty co zrobiłaś?","Prawie go zabiłam, a co ty zrobiłaś?",Pani,0.7925524071501083,0.4728708045015879,0.9781264066696167,0.9872637987136841,0.018248175182481837,0.0,0.6205475926399231,0.35478475689888
I wanted to paint my walls but you didn't borrow me paint,Chciałam pomalować moje ściany ale nie pożyczyłaś mi farby,"Chciałam pomalować moje ściany, ale nie pożyczyłaś mi farby.","Chciałam pomalować nasze wspólne ściany, ale niestety nie pożyczyła mi pani farby.",0.9420387649932295,0.43167001068522526,0.9294604659080505,0.9739227294921875,0.6976498813564235,0.045293761707938834,0.8502207398414612,0.9188879132270813
I wanted to paint my walls but you didn't borrow me paint,Chciałam pomalować moje ściany ale nie pożyczyłeś mi farby,"Chciałam pomalować moje ściany, ale nie pożyczyłeś mi farby.","Chciałam pomalować nasze ściany, ale zapomniałeś pożyczyć mi farby?",0.9420387649932295,0.43167001068522526,0.9293553233146667,0.9714491367340088,0.6338438313134077,0.06030725360407769,0.8711200952529907,0.9423617124557495
I wanted to paint my walls but you didn't borrow me paint,Chciałem pomalować moje ściany ale nie pożyczyłaś mi farby,"Chciałem pomalować moje ściany, ale ty nie pożyczyłaś mi farby.","Chciałem pomalować nasze ściany, ale ty nie pożyczyłaś mi farby.",0.895507587184027,0.1825741858350554,0.924028217792511,0.9685177206993103,0.7776467391617589,0.13747081017605653,0.906096875667572,0.968114972114563
I wanted to paint my walls but you didn't borrow me paint,Chciałem pomalować moje ściany ale nie pożyczyłeś mi farby,"Chciałem pomalować moje ściany, ale ty nie pożyczyłeś mi farby.","Chciałem pomalować ściany, ale nie dałeś mi farby.",0.895507587184027,0.1825741858350554,0.9253327250480652,0.9672804474830627,0.6151462291027479,0.07751502105431508,0.8614681959152222,0.9626728892326355
